bgg_id,name,year,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,cooperative,compilation,compilation_of,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id,game_type,designer,artist,mechanic,category,family,publisher,avg_time
224946,Dego,2017.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,,120.0,180.0,,,,,,,18.0,7.33333,1.45297,,3.3333,,,,,,,,War Game,Giacomo Fedele,,,,,,150.0
224979,Tournament of Towers,2018.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,,20.0,20.0,1.0,,,,,14383.0,65.0,6.71769,1.83434,5.5275,1.5,,,,,,,,,,Andy Petrov,,Action / Dexterity,,Iron Hippo Games,20.0
224980,Bibi & Tina: Das große Rennen,2016.0,2.0,6.0,2.0,6.0,2.0,6.0,5.0,,10.0,10.0,,,,,,,2.0,5.5,1.5,,,,,,,,,,,Kai Haferkamp,,,,Characters: Bibi Blocksberg,Schmidt Spiele,
224983,Seconds to Midnight,2017.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,,20.0,90.0,,,,,,,,,,,,,,,,,,,,Jesse Gardner,Joey Schictel,,,,Reactor Games Llc.,
224986,Mascotas,2017.0,2.0,8.0,2.0,8.0,2.0,8.0,4.0,,15.0,30.0,,,,,,11045.0,212.0,6.1983,1.31837,5.55108,1.4286,,,,,,,,,,Francisco Millan,Acting,,,ATOMO GAMES,22.5
224990,Capturing Cage,2017.0,3.0,5.0,3.0,5.0,3.0,5.0,10.0,,30.0,45.0,1.0,,,,,,8.0,6.125,1.96453,,2.0,,,,,,,,,Kenji Mishima,,,,,TUKAPON,37.5
224992,ボブジテン (Bob Jiten),2017.0,3.0,8.0,3.0,8.0,3.0,8.0,10.0,,30.0,45.0,,,,,,12243.0,76.0,6.51711,1.29059,5.54044,1.0,,,,,,,,,Kazuna*,,,,,TUKAPON,37.5
224993,Pony Run,2017.0,2.0,6.0,2.0,6.0,2.0,6.0,4.0,,15.0,25.0,1.0,,,,,,12.0,6.0,1.58114,,1.0,,,,,,,,,Daria Ermakova,Karina Lemesheva,,,Animals: Horses,,20.0
224994,Zakgeldspel: Kaartspel,2010.0,2.0,6.0,2.0,6.0,2.0,6.0,6.0,,15.0,20.0,,,,,,,2.0,4.0,2.0,,,,,,,,,,,,,,,,Jumbo,
224995,Wickie: Schatz Ahoi!,2016.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,,10.0,20.0,,,,,,,5.0,3.58,0.790949,,1.0,,,,,,,,Children's Game,Reiner Knizia,,,,,Ravensburger,15.0
